Tanggal,Keterangan,Cabang,Jumlah,DB/CR
01/03/2024,TRANSFER GAJI PT INDOFOOD,0001,"12.000.000",CR
02/03/2024,GOFOOD STARBUCKS MOI,0001,"85.000",DB
03/03/2024,INDOMARET PAYMENT,0001,"55.000",DB
04/03/2024,GRAB TRANSPORT TO AIRPORT,0001,"145.000",DB
05/03/2024,NETFLIX SUBSCRIPTION,0001,"186.000",DB
06/03/2024,PLN PREPAID TOKEN,0001,"200.000",DB
07/03/2024,TOKOPEDIA PAYMENT,0001,"350.000",DB
08/03/2024,TRANSFER FROM BONUS,0001,"3.000.000",CR
10/03/2024,APOTEK KIMIA FARMA,0001,"125.000",DB
12/03/2024,BIAYA ADMIN BULANAN,0001,"15.000",DB
